Sample,Composition,pctProt,Study,Timepoint,PC1,PC2,PC3
L13,Plant,p10,NHANES Mouse Pilot,D7,0.267077543,-0.001956035,0.064947775
N13,Control,p05,NHANES Mouse Pilot,D7,0.241688751,-0.126851284,0.00351463
L9,PF,p00,NHANES Mouse Pilot,D7,0.291935111,-0.104457733,0.108781665
L6,Animal,p10,NHANES Mouse Pilot,D7,0.210363195,-0.072091893,-0.028617909
N9,Plant,p10,NHANES Mouse Pilot,D7,0.306367665,-0.061390696,-0.011485068
L2,Control,p05,NHANES Mouse Pilot,D7,0.207449085,-0.017209025,-0.041904775
PT044,Plant,p10,Protein Titration Pilot ,D2,-0.034579047,0.066247184,0.120952747
PT137,Animal,p02,Protein Titration Pilot ,D2,-0.002504357,0.144692415,-0.035124492
N11,PF,p00,NHANES Mouse Pilot,D7,0.055459072,0.067719025,-0.089042283
PT146,Plant,p18,Protein Titration Pilot ,D3,-0.061528577,-0.083535185,0.025165067
PT027,Plant,p06,Protein Titration Pilot ,D3,-0.080247864,-0.069270583,0.044577515
PT129,Animal,p10,Protein Titration Pilot ,D2,-0.066215421,-0.029837078,-0.017134331
PT153,Plant,p10,Protein Titration Pilot ,D3,-0.008363748,0.017091991,-0.009932532
L10,Plant,p10,NHANES Mouse Pilot,D7,0.206647504,0.064509836,0.042119137
PT144,Animal,p18,Protein Titration Pilot ,D3,-0.025516422,0.013309259,-0.033773294
L7,Animal,p18,NHANES Mouse Pilot,D7,0.265845088,-0.137691022,-0.011236581
PT105,Plant,p14,Protein Titration Pilot ,D1,-0.093152348,-0.142849306,-0.055851494
PT041,Plant,p14,Protein Titration Pilot ,D2,-0.053873925,-0.031616425,0.05144656
PT130,Animal,p10,Protein Titration Pilot ,D2,-0.048279512,0.068445876,0.09614139
PT054,PF,p00,Protein Titration Pilot ,D2,-0.015431227,0.000567147,0.103868104
PT091,Animal,p06,Protein Titration Pilot ,D0,-0.109001154,-0.147933868,0.003784088
PT110,Plant,p10,Protein Titration Pilot ,D1,-0.077690302,-0.006410366,-0.006537497
PT155,Animal,p06,Protein Titration Pilot ,D3,-0.007111387,-0.004228655,-0.076779816
PT149,Plant,p14,Protein Titration Pilot ,D3,-0.114330769,-0.202862902,-0.110511609
PT127,Plant,p14,Protein Titration Pilot ,D2,-0.092577114,-0.190115387,-0.078395614
PT171,Plant,p14,Protein Titration Pilot ,D7,-0.073408965,-0.116892959,-0.138518679
L5,PF,p00,NHANES Mouse Pilot,D7,0.138040092,0.058675834,-0.148210736
PT173,Animal,p10,Protein Titration Pilot ,D7,-0.12405298,-0.123239063,-0.145969521
N12,PF,p00,NHANES Mouse Pilot,D7,0.161642721,0.047462854,-0.048752564
L8,Animal,p10,NHANES Mouse Pilot,D7,0.262860813,-0.014849283,-0.034435975
PT141,PF,p00,Protein Titration Pilot ,D2,0.026489434,0.101552574,-0.053160537
PT160,Animal,p02,Protein Titration Pilot ,D3,-0.005503776,0.109716046,0.022609309
PT042,Animal,p10,Protein Titration Pilot ,D2,-0.048979244,0.034473242,0.101555125
PT057,Animal,p18,Protein Titration Pilot ,D1,-0.050492096,0.005688963,0.147118486
PT088,Plant,p10,Protein Titration Pilot ,D0,-0.070803316,0.038762584,-0.002396325
PT138,Animal,p02,Protein Titration Pilot ,D2,0.001635926,0.053261359,-0.020259856
PT143,Animal,p18,Protein Titration Pilot ,D3,0.005945229,-0.008587826,-0.089439796
PT145,Plant,p18,Protein Titration Pilot ,D3,-0.067803769,0.010562027,-0.016567462
PT184,Plant,p02,Protein Titration Pilot ,D7,-0.008054049,0.102552653,-0.093753561
PT024,Animal,p06,Protein Titration Pilot ,D3,0.00977862,-0.000428354,0.113557098
PT087,Animal,p10,Protein Titration Pilot ,D0,-0.099948275,0.013933759,0.084636579
PT164,PF,p00,Protein Titration Pilot ,D7,-0.003782648,0.126046531,0.046810434
PT158,Plant,p06,Protein Titration Pilot ,D3,-0.011019533,-0.050842326,-0.032479274
PT139,Plant,p02,Protein Titration Pilot ,D2,0.008388994,0.133287501,-0.063103888
PT051,Animal,p02,Protein Titration Pilot ,D2,-0.043213831,-0.011051237,0.05574404
PT128,Plant,p14,Protein Titration Pilot ,D2,-0.100234763,-0.09381781,0.009544923
PT172,Plant,p14,Protein Titration Pilot ,D7,-0.107475946,-0.033008881,-0.042977244
PT089,Plant,p10,Protein Titration Pilot ,D0,-0.086980039,-0.045084821,-0.06156072
PT132,Plant,p10,Protein Titration Pilot ,D2,-0.028991083,0.027551606,0.01104191
PT140,Plant,p02,Protein Titration Pilot ,D2,-0.031908771,0.102711634,0.054600394
PT121,Animal,p18,Protein Titration Pilot ,D2,0.082854763,0.081632887,-0.048900224
PT167,Plant,p18,Protein Titration Pilot ,D7,-0.030244839,-0.0090427,0.006206704
PT010,Animal,p18,Protein Titration Pilot ,D4,-0.035000935,-0.065564377,0.096368797
PT156,Animal,p06,Protein Titration Pilot ,D3,-0.069848644,-0.08570808,0.003643645
PT131,Plant,p10,Protein Titration Pilot ,D2,-0.027788179,-0.00094105,-0.022820367
PT142,PF,p00,Protein Titration Pilot ,D3,-0.045884926,0.124553456,-0.01553336
PT097,PF,p00,Protein Titration Pilot ,D0,0.008817453,0.109692956,-0.057484304
PT122,Animal,p18,Protein Titration Pilot ,D2,-0.044589268,0.025983764,0.035382234
PT162,Plant,p02,Protein Titration Pilot ,D3,-0.042223298,0.111065146,-0.017155707
PT046,Animal,p06,Protein Titration Pilot ,D2,-0.027301741,-0.037850056,0.081841109
PT052,Plant,p02,Protein Titration Pilot ,D2,-0.04550801,-0.058818041,-0.015102442
PT011,PF,p00,Protein Titration Pilot ,D4,-0.042683718,-0.017836147,0.115006434
PT185,PF,p00,Protein Titration Pilot ,D7,0.028711521,0.133500954,-0.10005364
PT120,PF,p00,Protein Titration Pilot ,D2,-0.005512984,0.125423142,0.035080544
PT033,PF,p00,Protein Titration Pilot ,D3,-0.006758963,-0.005118019,0.070852309
PT178,Animal,p06,Protein Titration Pilot ,D7,-0.055911305,0.020758878,-0.023015528
PT170,Animal,p14,Protein Titration Pilot ,D7,-0.063603047,-0.006155162,-0.130962228
PT161,Plant,p02,Protein Titration Pilot ,D3,0.04546281,0.110979471,-0.049135222
PT119,PF,p00,Protein Titration Pilot ,D1,-0.002789092,0.109413285,-0.103779486
PT159,Animal,p02,Protein Titration Pilot ,D3,-0.038633084,0.079150266,-0.09155968
PT133,Animal,p06,Protein Titration Pilot ,D2,-0.012101911,0.063982476,-0.086870732
PT050,Animal,p02,Protein Titration Pilot ,D2,-0.041217408,-0.063732601,0.026287505
PT118,Plant,p02,Protein Titration Pilot ,D1,-0.087629857,0.02966224,0.020987704
PT166,Animal,p18,Protein Titration Pilot ,D7,-0.095687192,-0.023170615,-0.050317791
