Sample,Composition,pctProt,Study,Timepoint,PC1,PC2,PC3
L13,Plant,p10,NHANES Mouse Pilot,D7,-0.309358625,0.039449073,-0.05238804
N13,Control,p05,NHANES Mouse Pilot,D7,0.15366103,0.024933165,0.005215299
L9,PF,p00,NHANES Mouse Pilot,D7,-0.090526246,0.046907683,-0.038636064
L6,Animal,p10,NHANES Mouse Pilot,D7,-0.169938176,0.048596736,-0.016690963
N9,Plant,p10,NHANES Mouse Pilot,D7,-0.295527583,0.011208025,-0.016025845
L2,Control,p05,NHANES Mouse Pilot,D7,0.1695867,0.027335031,0.102814757
PT044,Plant,p10,Protein Titration Pilot ,D2,0.060641602,0.034648485,-0.029044528
PT137,Animal,p02,Protein Titration Pilot ,D2,-0.192805498,0.061084698,-0.028616679
N11,PF,p00,NHANES Mouse Pilot,D7,0.003783933,-0.370891206,0.085106869
PT146,Plant,p18,Protein Titration Pilot ,D3,0.097318603,0.025148629,-0.023709726
PT027,Plant,p06,Protein Titration Pilot ,D3,0.128387796,0.023714281,-0.034659538
PT129,Animal,p10,Protein Titration Pilot ,D2,0.071366308,0.014623315,-0.038106859
PT153,Plant,p10,Protein Titration Pilot ,D3,-0.243830764,0.014833906,0.064767381
L10,Plant,p10,NHANES Mouse Pilot,D7,0.027250563,0.016083796,0.036768791
PT144,Animal,p18,Protein Titration Pilot ,D3,-0.065983197,0.055722129,-0.04635343
L7,Animal,p18,NHANES Mouse Pilot,D7,0.191678697,0.050698435,-0.040806026
PT105,Plant,p14,Protein Titration Pilot ,D1,0.085694836,-0.365824676,0.041119228
PT041,Plant,p14,Protein Titration Pilot ,D2,0.1440799,0.023358469,0.026778275
PT130,Animal,p10,Protein Titration Pilot ,D2,0.089529859,0.035331903,-0.045451309
PT054,PF,p00,Protein Titration Pilot ,D2,-0.021550512,0.029445276,0.012597714
PT091,Animal,p06,Protein Titration Pilot ,D0,-0.003127582,0.058738632,-0.059580865
PT110,Plant,p10,Protein Titration Pilot ,D1,0.069223301,0.002712098,0.059912385
PT155,Animal,p06,Protein Titration Pilot ,D3,-0.077803329,0.032271894,0.011919712
PT149,Plant,p14,Protein Titration Pilot ,D3,0.056937292,-0.387246583,-0.067690856
PT127,Plant,p14,Protein Titration Pilot ,D2,0.036293928,-0.354673192,-0.075616283
PT171,Plant,p14,Protein Titration Pilot ,D7,-0.218604527,-0.311920422,-0.13316549
L5,PF,p00,NHANES Mouse Pilot,D7,0.120245264,-0.413496388,0.068847371
PT173,Animal,p10,Protein Titration Pilot ,D7,0.08474171,-0.405219788,-0.06491104
N12,PF,p00,NHANES Mouse Pilot,D7,-0.14320815,-0.25446105,-0.050671993
L8,Animal,p10,NHANES Mouse Pilot,D7,-0.308423749,0.0261355,-0.058895433
PT141,PF,p00,Protein Titration Pilot ,D2,-0.431544894,-0.060149592,0.039167628
PT160,Animal,p02,Protein Titration Pilot ,D3,-0.092074774,0.023571925,0.056126868
PT042,Animal,p10,Protein Titration Pilot ,D2,-0.036387011,0.038265256,-0.012190533
PT057,Animal,p18,Protein Titration Pilot ,D1,0.203132941,0.049598831,-0.027638282
PT088,Plant,p10,Protein Titration Pilot ,D0,-0.272311013,0.029427932,0.018841677
PT138,Animal,p02,Protein Titration Pilot ,D2,-0.174857415,0.059891399,-0.022660581
PT143,Animal,p18,Protein Titration Pilot ,D3,0.031270766,0.021602809,0.009848685
PT145,Plant,p18,Protein Titration Pilot ,D3,0.090579046,0.00918421,0.046728595
PT184,Plant,p02,Protein Titration Pilot ,D7,-0.084087836,0.032847663,0.023867795
PT024,Animal,p06,Protein Titration Pilot ,D3,0.155478684,0.017864728,0.120918408
PT087,Animal,p10,Protein Titration Pilot ,D0,0.074101213,0.042500089,-0.047359876
PT164,PF,p00,Protein Titration Pilot ,D7,-0.137086453,0.058811795,-0.006334508
PT158,Plant,p06,Protein Titration Pilot ,D3,-0.005814595,0.059522083,-0.066572138
PT139,Plant,p02,Protein Titration Pilot ,D2,0.072575099,0.032412509,-0.004667983
PT051,Animal,p02,Protein Titration Pilot ,D2,0.162732913,0.032342168,0.012772021
PT128,Plant,p14,Protein Titration Pilot ,D2,0.099059328,0.014807604,0.002686005
PT172,Plant,p14,Protein Titration Pilot ,D7,-0.14808376,0.045187905,0.001951602
PT089,Plant,p10,Protein Titration Pilot ,D0,0.183479276,0.039334849,-0.02120274
PT132,Plant,p10,Protein Titration Pilot ,D2,-0.151081352,0.030828895,0.040312962
PT140,Plant,p02,Protein Titration Pilot ,D2,-0.146514178,0.058509676,-0.018902169
PT121,Animal,p18,Protein Titration Pilot ,D2,0.080730897,0.010405329,0.036045268
PT167,Plant,p18,Protein Titration Pilot ,D7,0.139166924,0.014540722,0.076894014
PT010,Animal,p18,Protein Titration Pilot ,D4,0.154775464,0.035574508,-0.034205198
PT156,Animal,p06,Protein Titration Pilot ,D3,-0.162747393,0.027249188,0.036838459
PT131,Plant,p10,Protein Titration Pilot ,D2,0.082057716,-0.008689696,0.091824177
PT142,PF,p00,Protein Titration Pilot ,D3,0.016518204,0.043256551,-0.0012366
PT097,PF,p00,Protein Titration Pilot ,D0,-0.159446253,0.033126892,0.034215606
PT122,Animal,p18,Protein Titration Pilot ,D2,-0.075256675,0.06201318,-0.040002164
PT162,Plant,p02,Protein Titration Pilot ,D3,-0.042514423,0.045444215,-0.014254801
PT046,Animal,p06,Protein Titration Pilot ,D2,0.082142711,0.03602048,-0.052200683
PT052,Plant,p02,Protein Titration Pilot ,D2,0.081569891,0.011473313,0.024016432
PT011,PF,p00,Protein Titration Pilot ,D4,0.085964434,0.006862757,0.072082052
PT185,PF,p00,Protein Titration Pilot ,D7,-0.303529339,0.00246037,0.049500653
PT120,PF,p00,Protein Titration Pilot ,D2,-0.044871913,0.062027356,-0.042379153
PT033,PF,p00,Protein Titration Pilot ,D3,0.052764754,0.017353668,0.050380583
PT178,Animal,p06,Protein Titration Pilot ,D7,-0.085590943,0.025939947,0.025827956
PT170,Animal,p14,Protein Titration Pilot ,D7,0.007595299,0.056336006,-0.067758318
PT161,Plant,p02,Protein Titration Pilot ,D3,-0.075302533,0.026537028,0.041035075
PT119,PF,p00,Protein Titration Pilot ,D1,-0.180861996,0.022761787,0.070451241
PT159,Animal,p02,Protein Titration Pilot ,D3,-0.178339599,0.051357539,-0.001078597
PT133,Animal,p06,Protein Titration Pilot ,D2,0.018710255,0.033947751,-0.018828319
PT050,Animal,p02,Protein Titration Pilot ,D2,-0.119796283,0.074106923,-0.050970614
PT118,Plant,p02,Protein Titration Pilot ,D1,0.074853658,0.02101494,-0.004143119
PT166,Animal,p18,Protein Titration Pilot ,D7,0.003717615,0.045377424,-0.038479369
PT043,Animal,p10,Protein Titration Pilot ,D2,0.142208245,0.021348903,0.040083022
PT058,Plant,p18,Protein Titration Pilot ,D1,0.15887955,0.031882847,-0.021272539
N5,Plant,p18,NHANES Mouse Pilot,D7,0.030553483,0.008842018,0.054480307
PT126,Animal,p14,Protein Titration Pilot ,D2,0.024778073,0.044385618,-0.056924463
PT023,Plant,p10,Protein Titration Pilot ,D3,0.182041508,0.040820085,-0.015615515
PT008,Animal,p14,Protein Titration Pilot ,D4,0.202140784,0.048621252,-0.018362994
PT174,Animal,p10,Protein Titration Pilot ,D7,-0.157779781,-0.007132507,0.088081203
L12,Plant,p18,NHANES Mouse Pilot,D7,0.108448865,-0.005370247,0.092002119
PT175,Plant,p10,Protein Titration Pilot ,D7,0.006750685,0.024519703,0.020704198
N10,Plant,p10,NHANES Mouse Pilot,D7,-0.127454746,0.071865621,-0.053211267
PT015,Plant,p18,Protein Titration Pilot ,D3,0.206672215,0.051193737,-0.017047655
PT098,PF,p00,Protein Titration Pilot ,D0,-0.09387483,0.05301161,-0.023597522
PT056,Animal,p18,Protein Titration Pilot ,D1,0.105498563,0.005749563,0.05393712
PT063,Plant,p14,Protein Titration Pilot ,D1,0.211430849,0.053622025,-0.026418922
PT157,Plant,p06,Protein Titration Pilot ,D3,0.101768856,0.025011319,-0.018654818
PT055,PF,p00,Protein Titration Pilot ,D2,0.15596662,0.028776447,0.043552196
PT148,Animal,p14,Protein Titration Pilot ,D3,0.159111779,0.03539443,-0.051802715
L3,Control,p05,NHANES Mouse Pilot,D7,0.237122178,0.071053025,-0.009908667
PT025,Animal,p06,Protein Titration Pilot ,D3,0.03847919,0.044916452,-0.055323326
PT106,Plant,p14,Protein Titration Pilot ,D1,0.05853931,0.036829073,-0.047434226
PT154,Plant,p10,Protein Titration Pilot ,D3,0.067370788,0.046087203,-0.055940563
PT049,Plant,p06,Protein Titration Pilot ,D2,0.077752133,0.014292755,0.012046368
PT125,Animal,p14,Protein Titration Pilot ,D2,0.023590063,0.046133167,-0.050236515
PT176,Plant,p10,Protein Titration Pilot ,D7,0.150747616,0.021979211,0.027278235
L1,Control,p18,NHANES Mouse Pilot,D7,-0.365351833,-0.045942076,0.105492112
